state	year	spending
Colorado	1995	0
Colorado	1996	0
Colorado	1997	0
Colorado	1998	0
Colorado	1999	0
Colorado	2000	0
Colorado	2001	0
Colorado	2002	3450717
Colorado	2003	90928786
Colorado	2004	79669442
Colorado	2005	75139731
Colorado	2006	75644794
Colorado	2007	73256492
Colorado	2008	75164657
Colorado	2009	66067490
Colorado	2010	69882322
Colorado	2011	67157015
Colorado	2012	62733903
Colorado	2013	62429436
Colorado	2014	2120036
Colorado	2015	152352
Colorado	2016	37424
Colorado	2017	72633
Colorado	2018	0
Colorado	2019	0
Colorado	2020	0
Colorado	2021	0
