state	year	spending
Delaware	1995	0
Delaware	1996	0
Delaware	1997	0
Delaware	1998	0
Delaware	1999	0
Delaware	2000	0
Delaware	2001	0
Delaware	2002	38593
Delaware	2003	9528500
Delaware	2004	5882879
Delaware	2005	5724338
Delaware	2006	5786979
Delaware	2007	5485218
Delaware	2008	5530781
Delaware	2009	4087684
Delaware	2010	4222902
Delaware	2011	4132744
Delaware	2012	3535152
Delaware	2013	3397487
Delaware	2014	44757
Delaware	2015	-10740
Delaware	2016	11919
Delaware	2017	0
Delaware	2018	0
Delaware	2019	0
Delaware	2020	0
Delaware	2021	0
