state	year	spending
Florida	1995	0
Florida	1996	0
Florida	1997	0
Florida	1998	0
Florida	1999	0
Florida	2000	0
Florida	2001	0
Florida	2002	3655700
Florida	2003	14536223
Florida	2004	11486359
Florida	2005	10712751
Florida	2006	11075684
Florida	2007	9851382
Florida	2008	11062513
Florida	2009	10177721
Florida	2010	9971682
Florida	2011	9400267
Florida	2012	8051995
Florida	2013	8907526
Florida	2014	191801
Florida	2015	20757
Florida	2016	80609
Florida	2017	15025
Florida	2018	0
Florida	2019	0
Florida	2020	0
Florida	2021	0
