state	year	spending
Illinois	1995	0
Illinois	1996	0
Illinois	1997	0
Illinois	1998	0
Illinois	1999	0
Illinois	2000	0
Illinois	2001	0
Illinois	2002	28336501
Illinois	2003	608887690
Illinois	2004	461913573
Illinois	2005	461923184
Illinois	2006	458710078
Illinois	2007	453837257
Illinois	2008	458737709
Illinois	2009	326339524
Illinois	2010	329456708
Illinois	2011	324155219
Illinois	2012	316822523
Illinois	2013	342372365
Illinois	2014	2581398
Illinois	2015	918934
Illinois	2016	279442
Illinois	2017	628877
Illinois	2018	0
Illinois	2019	0
Illinois	2020	0
Illinois	2021	0
