state	year	spending
Indiana	1995	0
Indiana	1996	0
Indiana	1997	0
Indiana	1998	0
Indiana	1999	0
Indiana	2000	0
Indiana	2001	0
Indiana	2002	13933209
Indiana	2003	317138192
Indiana	2004	232435460
Indiana	2005	233751969
Indiana	2006	229796254
Indiana	2007	228781419
Indiana	2008	228763111
Indiana	2009	186185603
Indiana	2010	185249580
Indiana	2011	183598249
Indiana	2012	182564218
Indiana	2013	192114518
Indiana	2014	711355
Indiana	2015	-284689
Indiana	2016	101349
Indiana	2017	49050
Indiana	2018	0
Indiana	2019	0
Indiana	2020	0
Indiana	2021	0
