state	year	spending
Kansas	1995	0
Kansas	1996	0
Kansas	1997	0
Kansas	1998	0
Kansas	1999	0
Kansas	2000	0
Kansas	2001	0
Kansas	2002	21678694
Kansas	2003	405476316
Kansas	2004	334330705
Kansas	2005	332308405
Kansas	2006	321707716
Kansas	2007	324616720
Kansas	2008	329392382
Kansas	2009	303224380
Kansas	2010	309372228
Kansas	2011	303102817
Kansas	2012	300874410
Kansas	2013	282650740
Kansas	2014	2845450
Kansas	2015	317709
Kansas	2016	56156
Kansas	2017	40213
Kansas	2018	0
Kansas	2019	0
Kansas	2020	0
Kansas	2021	0
