state	year	spending
Kentucky	1995	0
Kentucky	1996	0
Kentucky	1997	0
Kentucky	1998	0
Kentucky	1999	0
Kentucky	2000	0
Kentucky	2001	0
Kentucky	2002	2213112
Kentucky	2003	71234658
Kentucky	2004	55341971
Kentucky	2005	55401467
Kentucky	2006	54904214
Kentucky	2007	54000078
Kentucky	2008	53682775
Kentucky	2009	42514636
Kentucky	2010	42005899
Kentucky	2011	42032632
Kentucky	2012	40620494
Kentucky	2013	38492889
Kentucky	2014	-267013
Kentucky	2015	-35923
Kentucky	2016	19780
Kentucky	2017	8925
Kentucky	2018	0
Kentucky	2019	0
Kentucky	2020	0
Kentucky	2021	0
