state	year	spending
Louisiana	1995	0
Louisiana	1996	0
Louisiana	1997	0
Louisiana	1998	0
Louisiana	1999	0
Louisiana	2000	0
Louisiana	2001	0
Louisiana	2002	11416629
Louisiana	2003	143861818
Louisiana	2004	126398967
Louisiana	2005	122729080
Louisiana	2006	122711080
Louisiana	2007	120405039
Louisiana	2008	121265732
Louisiana	2009	114667712
Louisiana	2010	114959456
Louisiana	2011	113927775
Louisiana	2012	108802221
Louisiana	2013	100777007
Louisiana	2014	1036890
Louisiana	2015	-422941
Louisiana	2016	362623
Louisiana	2017	109227
Louisiana	2018	0
Louisiana	2019	9042
Louisiana	2020	0
Louisiana	2021	0
