state	year	spending
Maryland	1995	0
Maryland	1996	0
Maryland	1997	0
Maryland	1998	0
Maryland	1999	0
Maryland	2000	0
Maryland	2001	0
Maryland	2002	569799
Maryland	2003	26735849
Maryland	2004	17622823
Maryland	2005	17303156
Maryland	2006	16804125
Maryland	2007	16789557
Maryland	2008	16654773
Maryland	2009	15284663
Maryland	2010	15485221
Maryland	2011	15177515
Maryland	2012	15129939
Maryland	2013	13932654
Maryland	2014	117088
Maryland	2015	-4484
Maryland	2016	6683
Maryland	2017	-3
Maryland	2018	0
Maryland	2019	0
Maryland	2020	0
Maryland	2021	0
