state	year	spending
Massachusetts	1995	0
Massachusetts	1996	0
Massachusetts	1997	0
Massachusetts	1998	0
Massachusetts	1999	0
Massachusetts	2000	0
Massachusetts	2001	0
Massachusetts	2002	9370
Massachusetts	2003	688616
Massachusetts	2004	499534
Massachusetts	2005	411236
Massachusetts	2006	476196
Massachusetts	2007	406146
Massachusetts	2008	420749
Massachusetts	2009	246370
Massachusetts	2010	330688
Massachusetts	2011	306093
Massachusetts	2012	322037
Massachusetts	2013	279917
Massachusetts	2014	231
Massachusetts	2015	558
Massachusetts	2016	0
Massachusetts	2017	0
Massachusetts	2018	0
Massachusetts	2019	0
Massachusetts	2020	0
Massachusetts	2021	0
