state	year	spending
Michigan	1995	0
Michigan	1996	0
Michigan	1997	0
Michigan	1998	0
Michigan	1999	0
Michigan	2000	0
Michigan	2001	0
Michigan	2002	1707214
Michigan	2003	122027224
Michigan	2004	89422038
Michigan	2005	89682686
Michigan	2006	86805170
Michigan	2007	87313623
Michigan	2008	86764241
Michigan	2009	70835556
Michigan	2010	72134010
Michigan	2011	71492966
Michigan	2012	68901874
Michigan	2013	69504648
Michigan	2014	653369
Michigan	2015	-198593
Michigan	2016	130542
Michigan	2017	118603
Michigan	2018	40440
Michigan	2019	0
Michigan	2020	0
Michigan	2021	0
