state	year	spending
Minnesota	1995	0
Minnesota	1996	0
Minnesota	1997	0
Minnesota	1998	0
Minnesota	1999	0
Minnesota	2000	0
Minnesota	2001	0
Minnesota	2002	9421699
Minnesota	2003	436068410
Minnesota	2004	308318381
Minnesota	2005	309274611
Minnesota	2006	305461600
Minnesota	2007	304815461
Minnesota	2008	305804684
Minnesota	2009	263842050
Minnesota	2010	263106423
Minnesota	2011	260749535
Minnesota	2012	260367803
Minnesota	2013	251016805
Minnesota	2014	1518507
Minnesota	2015	-625330
Minnesota	2016	924433
Minnesota	2017	124750
Minnesota	2018	1480
Minnesota	2019	0
Minnesota	2020	0
Minnesota	2021	0
