state	year	spending
Mississippi	1995	0
Mississippi	1996	0
Mississippi	1997	0
Mississippi	1998	0
Mississippi	1999	0
Mississippi	2000	0
Mississippi	2001	0
Mississippi	2002	16059366
Mississippi	2003	149985705
Mississippi	2004	125189965
Mississippi	2005	124966565
Mississippi	2006	122834683
Mississippi	2007	121084346
Mississippi	2008	122532688
Mississippi	2009	114499368
Mississippi	2010	118860339
Mississippi	2011	116224809
Mississippi	2012	113406181
Mississippi	2013	103682207
Mississippi	2014	1347087
Mississippi	2015	2121
Mississippi	2016	107603
Mississippi	2017	43359
Mississippi	2018	0
Mississippi	2019	0
Mississippi	2020	0
Mississippi	2021	0
