state	year	spending
Missouri	1995	0
Missouri	1996	0
Missouri	1997	0
Missouri	1998	0
Missouri	1999	0
Missouri	2000	0
Missouri	2001	0
Missouri	2002	10434474
Missouri	2003	249787994
Missouri	2004	182847539
Missouri	2005	185657370
Missouri	2006	180332802
Missouri	2007	180695670
Missouri	2008	182051605
Missouri	2009	162102446
Missouri	2010	162076130
Missouri	2011	159662333
Missouri	2012	158803039
Missouri	2013	151743076
Missouri	2014	580765
Missouri	2015	-41844
Missouri	2016	30589
Missouri	2017	40204
Missouri	2018	0
Missouri	2019	0
Missouri	2020	0
Missouri	2021	0
