state	year	spending
Nebraska	1995	0
Nebraska	1996	0
Nebraska	1997	0
Nebraska	1998	0
Nebraska	1999	0
Nebraska	2000	0
Nebraska	2001	0
Nebraska	2002	17702750
Nebraska	2003	422824559
Nebraska	2004	337336618
Nebraska	2005	338597527
Nebraska	2006	332229966
Nebraska	2007	333153038
Nebraska	2008	333779952
Nebraska	2009	237588359
Nebraska	2010	236627649
Nebraska	2011	233038330
Nebraska	2012	231616752
Nebraska	2013	247324754
Nebraska	2014	920261
Nebraska	2015	-588268
Nebraska	2016	891996
Nebraska	2017	-45015
Nebraska	2018	0
Nebraska	2019	0
Nebraska	2020	0
Nebraska	2021	0
