state	year	spending
New Jersey	1995	0
New Jersey	1996	0
New Jersey	1997	0
New Jersey	1998	0
New Jersey	1999	0
New Jersey	2000	0
New Jersey	2001	0
New Jersey	2002	0
New Jersey	2003	4314694
New Jersey	2004	2977665
New Jersey	2005	2722777
New Jersey	2006	2666408
New Jersey	2007	2607430
New Jersey	2008	2769181
New Jersey	2009	2508424
New Jersey	2010	2466329
New Jersey	2011	2509216
New Jersey	2012	2269637
New Jersey	2013	2358289
New Jersey	2014	6472
New Jersey	2015	0
New Jersey	2016	0
New Jersey	2017	0
New Jersey	2018	0
New Jersey	2019	0
New Jersey	2020	0
New Jersey	2021	0
