state	year	spending
New Mexico	1995	0
New Mexico	1996	0
New Mexico	1997	0
New Mexico	1998	0
New Mexico	1999	0
New Mexico	2000	0
New Mexico	2001	0
New Mexico	2002	1482426
New Mexico	2003	20899148
New Mexico	2004	17409859
New Mexico	2005	16227350
New Mexico	2006	15680929
New Mexico	2007	15620401
New Mexico	2008	16215306
New Mexico	2009	14447854
New Mexico	2010	15100465
New Mexico	2011	15319105
New Mexico	2012	14705710
New Mexico	2013	12345956
New Mexico	2014	539570
New Mexico	2015	-21941
New Mexico	2016	93982
New Mexico	2017	10890
New Mexico	2018	0
New Mexico	2019	0
New Mexico	2020	0
New Mexico	2021	0
