state	year	spending
North Carolina	1995	0
North Carolina	1996	0
North Carolina	1997	0
North Carolina	1998	0
North Carolina	1999	0
North Carolina	2000	0
North Carolina	2001	0
North Carolina	2002	5828786
North Carolina	2003	95809215
North Carolina	2004	69897369
North Carolina	2005	65950748
North Carolina	2006	67634890
North Carolina	2007	66285234
North Carolina	2008	67348405
North Carolina	2009	62493504
North Carolina	2010	63363668
North Carolina	2011	61958902
North Carolina	2012	59256684
North Carolina	2013	54020528
North Carolina	2014	1544761
North Carolina	2015	83616
North Carolina	2016	-14340
North Carolina	2017	1556
North Carolina	2018	0
North Carolina	2019	0
North Carolina	2020	0
North Carolina	2021	0
