state	year	spending
North Dakota	1995	0
North Dakota	1996	0
North Dakota	1997	0
North Dakota	1998	0
North Dakota	1999	0
North Dakota	2000	0
North Dakota	2001	0
North Dakota	2002	4824915
North Dakota	2003	289790454
North Dakota	2004	225509028
North Dakota	2005	224262187
North Dakota	2006	222302385
North Dakota	2007	222229158
North Dakota	2008	223214775
North Dakota	2009	178389649
North Dakota	2010	178487913
North Dakota	2011	178844772
North Dakota	2012	177297409
North Dakota	2013	174633490
North Dakota	2014	1279305
North Dakota	2015	27696
North Dakota	2016	-277537
North Dakota	2017	165638
North Dakota	2018	0
North Dakota	2019	0
North Dakota	2020	2244
North Dakota	2021	0
