state	year	spending
Oklahoma	1995	0
Oklahoma	1996	0
Oklahoma	1997	0
Oklahoma	1998	0
Oklahoma	1999	0
Oklahoma	2000	0
Oklahoma	2001	0
Oklahoma	2002	15796433
Oklahoma	2003	146148411
Oklahoma	2004	126354533
Oklahoma	2005	125388903
Oklahoma	2006	119105039
Oklahoma	2007	120729264
Oklahoma	2008	123531227
Oklahoma	2009	81449416
Oklahoma	2010	80082072
Oklahoma	2011	78023717
Oklahoma	2012	75808685
Oklahoma	2013	86428637
Oklahoma	2014	593627
Oklahoma	2015	264930
Oklahoma	2016	107548
Oklahoma	2017	111919
Oklahoma	2018	0
Oklahoma	2019	0
Oklahoma	2020	0
Oklahoma	2021	0
