state	year	spending
Pennsylvania	1995	0
Pennsylvania	1996	0
Pennsylvania	1997	0
Pennsylvania	1998	0
Pennsylvania	1999	0
Pennsylvania	2000	0
Pennsylvania	2001	0
Pennsylvania	2002	149573
Pennsylvania	2003	38213314
Pennsylvania	2004	25337657
Pennsylvania	2005	24464663
Pennsylvania	2006	24353052
Pennsylvania	2007	23970185
Pennsylvania	2008	23515594
Pennsylvania	2009	20828837
Pennsylvania	2010	20804832
Pennsylvania	2011	20405998
Pennsylvania	2012	20247328
Pennsylvania	2013	18670451
Pennsylvania	2014	72351
Pennsylvania	2015	16220
Pennsylvania	2016	-17338
Pennsylvania	2017	60565
Pennsylvania	2018	0
Pennsylvania	2019	0
Pennsylvania	2020	0
Pennsylvania	2021	0
