state	year	spending
South Carolina	1995	0
South Carolina	1996	0
South Carolina	1997	0
South Carolina	1998	0
South Carolina	1999	0
South Carolina	2000	0
South Carolina	2001	0
South Carolina	2002	2384831
South Carolina	2003	35825181
South Carolina	2004	27809134
South Carolina	2005	27130013
South Carolina	2006	26736740
South Carolina	2007	26003173
South Carolina	2008	26066906
South Carolina	2009	24538454
South Carolina	2010	24734385
South Carolina	2011	24604460
South Carolina	2012	23658430
South Carolina	2013	22093004
South Carolina	2014	-94189
South Carolina	2015	-149035
South Carolina	2016	6587
South Carolina	2017	30595
South Carolina	2018	0
South Carolina	2019	0
South Carolina	2020	0
South Carolina	2021	0
