state	year	spending
South Dakota	1995	0
South Dakota	1996	0
South Dakota	1997	0
South Dakota	1998	0
South Dakota	1999	0
South Dakota	2000	0
South Dakota	2001	0
South Dakota	2002	3695580
South Dakota	2003	229271685
South Dakota	2004	159465448
South Dakota	2005	160551227
South Dakota	2006	159421402
South Dakota	2007	158020728
South Dakota	2008	159221575
South Dakota	2009	111111609
South Dakota	2010	108791336
South Dakota	2011	107626915
South Dakota	2012	106221526
South Dakota	2013	106655647
South Dakota	2014	459214
South Dakota	2015	227497
South Dakota	2016	-28988
South Dakota	2017	57740
South Dakota	2018	0
South Dakota	2019	0
South Dakota	2020	0
South Dakota	2021	0
