state	year	spending
Tennessee	1995	0
Tennessee	1996	0
Tennessee	1997	0
Tennessee	1998	0
Tennessee	1999	0
Tennessee	2000	0
Tennessee	2001	0
Tennessee	2002	4220418
Tennessee	2003	68268044
Tennessee	2004	53845443
Tennessee	2005	52994279
Tennessee	2006	52527389
Tennessee	2007	51835328
Tennessee	2008	51750532
Tennessee	2009	48605008
Tennessee	2010	48851927
Tennessee	2011	47987575
Tennessee	2012	47440998
Tennessee	2013	44434910
Tennessee	2014	-46806
Tennessee	2015	-190654
Tennessee	2016	52768
Tennessee	2017	666
Tennessee	2018	0
Tennessee	2019	0
Tennessee	2020	0
Tennessee	2021	0
