state	year	spending
US Virgin Islands	1995	0
US Virgin Islands	1996	0
US Virgin Islands	1997	0
US Virgin Islands	1998	0
US Virgin Islands	1999	0
US Virgin Islands	2000	0
US Virgin Islands	2001	0
US Virgin Islands	2002	0
US Virgin Islands	2003	0
US Virgin Islands	2004	0
US Virgin Islands	2005	0
US Virgin Islands	2006	0
US Virgin Islands	2007	0
US Virgin Islands	2008	0
US Virgin Islands	2009	0
US Virgin Islands	2010	0
US Virgin Islands	2011	0
US Virgin Islands	2012	0
US Virgin Islands	2013	0
US Virgin Islands	2014	0
US Virgin Islands	2015	0
US Virgin Islands	2016	0
US Virgin Islands	2017	0
US Virgin Islands	2018	0
US Virgin Islands	2019	0
US Virgin Islands	2020	0
US Virgin Islands	2021	0
