state	year	spending
Vermont	1995	0
Vermont	1996	0
Vermont	1997	0
Vermont	1998	0
Vermont	1999	0
Vermont	2000	0
Vermont	2001	0
Vermont	2002	386
Vermont	2003	2863379
Vermont	2004	1968248
Vermont	2005	1903267
Vermont	2006	1917200
Vermont	2007	1793583
Vermont	2008	1860736
Vermont	2009	1483178
Vermont	2010	1473592
Vermont	2011	1419889
Vermont	2012	1308728
Vermont	2013	1533382
Vermont	2014	10334
Vermont	2015	-635
Vermont	2016	246
Vermont	2017	-17278
Vermont	2018	0
Vermont	2019	0
Vermont	2020	0
Vermont	2021	0
