state	year	spending
Virginia	1995	0
Virginia	1996	0
Virginia	1997	0
Virginia	1998	0
Virginia	1999	0
Virginia	2000	0
Virginia	2001	0
Virginia	2002	3169447
Virginia	2003	34595285
Virginia	2004	24523021
Virginia	2005	23936639
Virginia	2006	23745374
Virginia	2007	23279963
Virginia	2008	23127297
Virginia	2009	21337929
Virginia	2010	21592891
Virginia	2011	21716669
Virginia	2012	21256924
Virginia	2013	19537179
Virginia	2014	104778
Virginia	2015	-9861
Virginia	2016	7834
Virginia	2017	9419
Virginia	2018	0
Virginia	2019	0
Virginia	2020	0
Virginia	2021	0
