state	year	spending
Washington	1995	0
Washington	1996	0
Washington	1997	0
Washington	1998	0
Washington	1999	0
Washington	2000	0
Washington	2001	0
Washington	2002	10205634
Washington	2003	85903117
Washington	2004	72601535
Washington	2005	73839365
Washington	2006	65790352
Washington	2007	68436777
Washington	2008	69973402
Washington	2009	37569882
Washington	2010	36289648
Washington	2011	35234150
Washington	2012	32577579
Washington	2013	59151248
Washington	2014	270832
Washington	2015	10980
Washington	2016	93177
Washington	2017	0
Washington	2018	0
Washington	2019	0
Washington	2020	0
Washington	2021	0
