state	year	spending
West Virginia	1995	0
West Virginia	1996	0
West Virginia	1997	0
West Virginia	1998	0
West Virginia	1999	0
West Virginia	2000	0
West Virginia	2001	0
West Virginia	2002	23271
West Virginia	2003	2242283
West Virginia	2004	1780074
West Virginia	2005	1770373
West Virginia	2006	1723823
West Virginia	2007	1680869
West Virginia	2008	1681776
West Virginia	2009	1553050
West Virginia	2010	1534641
West Virginia	2011	1544369
West Virginia	2012	1483383
West Virginia	2013	1369674
West Virginia	2014	-22965
West Virginia	2015	235
West Virginia	2016	-8201
West Virginia	2017	8201
West Virginia	2018	0
West Virginia	2019	0
West Virginia	2020	0
West Virginia	2021	0
