state	year	spending
Wyoming	1995	0
Wyoming	1996	0
Wyoming	1997	0
Wyoming	1998	0
Wyoming	1999	0
Wyoming	2000	0
Wyoming	2001	0
Wyoming	2002	191082
Wyoming	2003	8618201
Wyoming	2004	7108779
Wyoming	2005	7122570
Wyoming	2006	6679264
Wyoming	2007	6782265
Wyoming	2008	6745552
Wyoming	2009	6253840
Wyoming	2010	6326726
Wyoming	2011	6164995
Wyoming	2012	6091855
Wyoming	2013	5896051
Wyoming	2014	-19539
Wyoming	2015	105072
Wyoming	2016	8717
Wyoming	2017	16190
Wyoming	2018	0
Wyoming	2019	0
Wyoming	2020	0
Wyoming	2021	0
