state	year	spending
Arkansas	1995	6287754
Arkansas	1996	7451554
Arkansas	1997	7844
Arkansas	1998	186
Arkansas	1999	16367547
Arkansas	2000	11383630
Arkansas	2001	18158465
Arkansas	2002	1276067
Arkansas	2003	26477396
Arkansas	2004	1374752
Arkansas	2005	10033167
Arkansas	2006	85385
Arkansas	2007	2046543
Arkansas	2008	6078121
Arkansas	2009	250795
Arkansas	2010	1938112
Arkansas	2011	8541851
Arkansas	2012	2223441
Arkansas	2013	86400
Arkansas	2014	158360349
Arkansas	2015	24481972
Arkansas	2016	9635880
Arkansas	2017	1668505
Arkansas	2018	10211780
Arkansas	2019	2894680
Arkansas	2020	830709
