state	year	spending
Colorado	1995	2171318
Colorado	1996	-1886
Colorado	1997	0
Colorado	1998	1727855
Colorado	1999	293900
Colorado	2000	357
Colorado	2001	9674885
Colorado	2002	43943074
Colorado	2003	1118339
Colorado	2004	1025168
Colorado	2005	10328464
Colorado	2006	542773
Colorado	2007	70039
Colorado	2008	7397901
Colorado	2009	2914951
Colorado	2010	3588423
Colorado	2011	11445212
Colorado	2012	2681691
Colorado	2013	148082
Colorado	2014	139442561
Colorado	2015	42487337
Colorado	2016	592585
Colorado	2017	15041
Colorado	2018	21786079
Colorado	2019	14887183
Colorado	2020	3463997
