state	year	spending
Georgia	1995	555344
Georgia	1996	1767077
Georgia	1997	-225
Georgia	1998	218532
Georgia	1999	14777388
Georgia	2000	11585827
Georgia	2001	26548193
Georgia	2002	17788969
Georgia	2003	8561451
Georgia	2004	658751
Georgia	2005	9657771
Georgia	2006	261185
Georgia	2007	2330690
Georgia	2008	7371099
Georgia	2009	14819467
Georgia	2010	2104424
Georgia	2011	10484049
Georgia	2012	708025
Georgia	2013	-28374
Georgia	2014	75875269
Georgia	2015	9023574
Georgia	2016	26375969
Georgia	2017	23989338
Georgia	2018	6760228
Georgia	2019	5971499
Georgia	2020	12169182
