state	year	spending
Hawaii	1995	99339
Hawaii	1996	33911
Hawaii	1997	36511
Hawaii	1998	846
Hawaii	1999	316254
Hawaii	2000	403918
Hawaii	2001	961099
Hawaii	2002	969732
Hawaii	2003	385781
Hawaii	2004	769569
Hawaii	2005	1728523
Hawaii	2006	115732
Hawaii	2007	0
Hawaii	2008	843864
Hawaii	2009	4198684
Hawaii	2010	5740044
Hawaii	2011	3377703
Hawaii	2012	60443
Hawaii	2013	-171764
Hawaii	2014	16242599
Hawaii	2015	3942836
Hawaii	2016	2358792
Hawaii	2017	2998721
Hawaii	2018	2666057
Hawaii	2019	1263673
Hawaii	2020	2126644
