state	year	spending
Illinois	1995	0
Illinois	1996	0
Illinois	1997	3998
Illinois	1998	93
Illinois	1999	13789485
Illinois	2000	689371
Illinois	2001	0
Illinois	2002	9547425
Illinois	2003	8620608
Illinois	2004	-724
Illinois	2005	0
Illinois	2006	0
Illinois	2007	45574
Illinois	2008	3238013
Illinois	2009	0
Illinois	2010	93762
Illinois	2011	366546
Illinois	2012	286026
Illinois	2013	-4
Illinois	2014	16499636
Illinois	2015	3835311
Illinois	2016	170939
Illinois	2017	47016
Illinois	2018	15204884
Illinois	2019	22487680
Illinois	2020	8031315
