state	year	spending
Indiana	1995	0
Indiana	1996	0
Indiana	1997	0
Indiana	1998	0
Indiana	1999	10208704
Indiana	2000	1922024
Indiana	2001	-108
Indiana	2002	10038279
Indiana	2003	1233920
Indiana	2004	4589
Indiana	2005	0
Indiana	2006	0
Indiana	2007	17215
Indiana	2008	2338433
Indiana	2009	10640
Indiana	2010	256034
Indiana	2011	1218338
Indiana	2012	482499
Indiana	2013	7615
Indiana	2014	29084729
Indiana	2015	1624321
Indiana	2016	181198
Indiana	2017	81758
Indiana	2018	8589340
Indiana	2019	14806250
Indiana	2020	5588664
