state	year	spending
Kentucky	1995	90502
Kentucky	1996	0
Kentucky	1997	93252
Kentucky	1998	12856
Kentucky	1999	4998114
Kentucky	2000	17484088
Kentucky	2001	1215408
Kentucky	2002	35746811
Kentucky	2003	498362
Kentucky	2004	-16850
Kentucky	2005	1324064
Kentucky	2006	4180
Kentucky	2007	4208589
Kentucky	2008	13917737
Kentucky	2009	3944826
Kentucky	2010	7999500
Kentucky	2011	3328811
Kentucky	2012	432383
Kentucky	2013	22421
Kentucky	2014	25535404
Kentucky	2015	14890650
Kentucky	2016	4986517
Kentucky	2017	1788985
Kentucky	2018	3051647
Kentucky	2019	4080158
Kentucky	2020	1537443
