state	year	spending
Maryland	1995	337
Maryland	1996	1820
Maryland	1997	-229
Maryland	1998	0
Maryland	1999	268242
Maryland	2000	724505
Maryland	2001	0
Maryland	2002	2980048
Maryland	2003	118118
Maryland	2004	92425
Maryland	2005	0
Maryland	2006	0
Maryland	2007	39933
Maryland	2008	733796
Maryland	2009	0
Maryland	2010	116241
Maryland	2011	100018
Maryland	2012	23916
Maryland	2013	0
Maryland	2014	5476
Maryland	2015	21221
Maryland	2016	74165
Maryland	2017	0
Maryland	2018	64120
Maryland	2019	1135531
Maryland	2020	383830
