state	year	spending
Michigan	1995	0
Michigan	1996	-862
Michigan	1997	0
Michigan	1998	0
Michigan	1999	3206096
Michigan	2000	45858
Michigan	2001	159551
Michigan	2002	14046378
Michigan	2003	1741856
Michigan	2004	1418
Michigan	2005	229292
Michigan	2006	1125
Michigan	2007	12225
Michigan	2008	3074391
Michigan	2009	190729
Michigan	2010	801014
Michigan	2011	88080
Michigan	2012	115060
Michigan	2013	0
Michigan	2014	1493430
Michigan	2015	968223
Michigan	2016	214036
Michigan	2017	72076
Michigan	2018	2428128
Michigan	2019	14503137
Michigan	2020	7507607
