state	year	spending
Missouri	1995	1021199
Missouri	1996	3002356
Missouri	1997	0
Missouri	1998	0
Missouri	1999	6405047
Missouri	2000	19894648
Missouri	2001	15459597
Missouri	2002	62118043
Missouri	2003	2235154
Missouri	2004	603943
Missouri	2005	7355035
Missouri	2006	55750
Missouri	2007	2272828
Missouri	2008	23690020
Missouri	2009	407440
Missouri	2010	859414
Missouri	2011	3023833
Missouri	2012	319935
Missouri	2013	-13878
Missouri	2014	310883594
Missouri	2015	9591110
Missouri	2016	612108
Missouri	2017	403993
Missouri	2018	68802468
Missouri	2019	17534957
Missouri	2020	2491203
