state	year	spending
Nevada	1995	1108028
Nevada	1996	0
Nevada	1997	0
Nevada	1998	0
Nevada	1999	34216
Nevada	2000	166577
Nevada	2001	561729
Nevada	2002	5175710
Nevada	2003	765763
Nevada	2004	241765
Nevada	2005	1187363
Nevada	2006	254524
Nevada	2007	50409
Nevada	2008	970884
Nevada	2009	988563
Nevada	2010	1342577
Nevada	2011	36123
Nevada	2012	891267
Nevada	2013	24023
Nevada	2014	32433845
Nevada	2015	22076661
Nevada	2016	9417785
Nevada	2017	1017652
Nevada	2018	784384
Nevada	2019	3118068
Nevada	2020	1007902
