state	year	spending
New Jersey	1995	0
New Jersey	1996	0
New Jersey	1997	0
New Jersey	1998	0
New Jersey	1999	64485
New Jersey	2000	67836
New Jersey	2001	0
New Jersey	2002	632663
New Jersey	2003	45856
New Jersey	2004	4587
New Jersey	2005	23136
New Jersey	2006	3973
New Jersey	2007	0
New Jersey	2008	53250
New Jersey	2009	0
New Jersey	2010	4759
New Jersey	2011	97835
New Jersey	2012	23788
New Jersey	2013	0
New Jersey	2014	92928
New Jersey	2015	77121
New Jersey	2016	45575
New Jersey	2017	80230
New Jersey	2018	332561
New Jersey	2019	206649
New Jersey	2020	266707
