state	year	spending
New Mexico	1995	9835665
New Mexico	1996	8167663
New Mexico	1997	251282
New Mexico	1998	310793
New Mexico	1999	7731924
New Mexico	2000	1965479
New Mexico	2001	19364136
New Mexico	2002	14500954
New Mexico	2003	6204536
New Mexico	2004	2869611
New Mexico	2005	16577656
New Mexico	2006	750827
New Mexico	2007	166530
New Mexico	2008	3137118
New Mexico	2009	5688079
New Mexico	2010	6275426
New Mexico	2011	20421770
New Mexico	2012	3934053
New Mexico	2013	37421
New Mexico	2014	151913778
New Mexico	2015	21939269
New Mexico	2016	11606108
New Mexico	2017	609234
New Mexico	2018	21370096
New Mexico	2019	15418108
New Mexico	2020	8663507
