state	year	spending
North Carolina	1995	2610
North Carolina	1996	0
North Carolina	1997	0
North Carolina	1998	0
North Carolina	1999	5860975
North Carolina	2000	2951024
North Carolina	2001	3128678
North Carolina	2002	12600690
North Carolina	2003	2852238
North Carolina	2004	665041
North Carolina	2005	0
North Carolina	2006	1520
North Carolina	2007	122721
North Carolina	2008	6150865
North Carolina	2009	6704790
North Carolina	2010	1402189
North Carolina	2011	836625
North Carolina	2012	259427
North Carolina	2013	-2
North Carolina	2014	1111253
North Carolina	2015	1039230
North Carolina	2016	1777110
North Carolina	2017	3432302
North Carolina	2018	2529414
North Carolina	2019	4896379
North Carolina	2020	1613285
