state	year	spending
North Dakota	1995	0
North Dakota	1996	0
North Dakota	1997	18340388
North Dakota	1998	285733
North Dakota	1999	1206395
North Dakota	2000	565872
North Dakota	2001	1453098
North Dakota	2002	27287589
North Dakota	2003	2608699
North Dakota	2004	98792
North Dakota	2005	11415157
North Dakota	2006	101513
North Dakota	2007	1429870
North Dakota	2008	7388563
North Dakota	2009	22213633
North Dakota	2010	27463037
North Dakota	2011	4546532
North Dakota	2012	2547688
North Dakota	2013	11652
North Dakota	2014	14234883
North Dakota	2015	4711677
North Dakota	2016	1504163
North Dakota	2017	53414328
North Dakota	2018	17657136
North Dakota	2019	5539433
North Dakota	2020	4282977
