state	year	spending
Oregon	1995	2010583
Oregon	1996	298209
Oregon	1997	346583
Oregon	1998	-1383
Oregon	1999	126386
Oregon	2000	816117
Oregon	2001	555767
Oregon	2002	7392329
Oregon	2003	6840216
Oregon	2004	360165
Oregon	2005	2477317
Oregon	2006	189245
Oregon	2007	13818
Oregon	2008	3511270
Oregon	2009	132165
Oregon	2010	1529865
Oregon	2011	1392390
Oregon	2012	189327
Oregon	2013	0
Oregon	2014	34157444
Oregon	2015	48087080
Oregon	2016	27899946
Oregon	2017	6322447
Oregon	2018	9674672
Oregon	2019	22076434
Oregon	2020	4313662
