state	year	spending
Pennsylvania	1995	323959
Pennsylvania	1996	2025297
Pennsylvania	1997	1112
Pennsylvania	1998	-2331
Pennsylvania	1999	1364425
Pennsylvania	2000	1018555
Pennsylvania	2001	0
Pennsylvania	2002	18790748
Pennsylvania	2003	1593507
Pennsylvania	2004	-5940
Pennsylvania	2005	0
Pennsylvania	2006	0
Pennsylvania	2007	52734
Pennsylvania	2008	2565226
Pennsylvania	2009	1481
Pennsylvania	2010	323606
Pennsylvania	2011	474284
Pennsylvania	2012	425481
Pennsylvania	2013	3962
Pennsylvania	2014	631929
Pennsylvania	2015	266166
Pennsylvania	2016	419631
Pennsylvania	2017	488233
Pennsylvania	2018	2126237
Pennsylvania	2019	11679856
Pennsylvania	2020	5076687
