state	year	spending
South Carolina	1995	1282
South Carolina	1996	-463
South Carolina	1997	0
South Carolina	1998	0
South Carolina	1999	2971174
South Carolina	2000	1703119
South Carolina	2001	3978607
South Carolina	2002	4843630
South Carolina	2003	1567621
South Carolina	2004	359078
South Carolina	2005	0
South Carolina	2006	0
South Carolina	2007	153648
South Carolina	2008	1948826
South Carolina	2009	5593163
South Carolina	2010	405036
South Carolina	2011	2699419
South Carolina	2012	185711
South Carolina	2013	3427
South Carolina	2014	10809173
South Carolina	2015	1345681
South Carolina	2016	2336938
South Carolina	2017	5049840
South Carolina	2018	528872
South Carolina	2019	2635426
South Carolina	2020	2711857
