state	year	spending
South Dakota	1995	5025604
South Dakota	1996	-17220
South Dakota	1997	38281415
South Dakota	1998	615415
South Dakota	1999	5549261
South Dakota	2000	-473
South Dakota	2001	3431187
South Dakota	2002	98748512
South Dakota	2003	4609626
South Dakota	2004	746159
South Dakota	2005	40257710
South Dakota	2006	1178490
South Dakota	2007	2319582
South Dakota	2008	18155888
South Dakota	2009	18631861
South Dakota	2010	14061406
South Dakota	2011	5864567
South Dakota	2012	1694218
South Dakota	2013	46363
South Dakota	2014	303526403
South Dakota	2015	9963769
South Dakota	2016	21552564
South Dakota	2017	66781486
South Dakota	2018	26007592
South Dakota	2019	31458744
South Dakota	2020	13182043
