state	year	spending
Washington	1995	1025729
Washington	1996	320329
Washington	1997	221714
Washington	1998	993
Washington	1999	130688
Washington	2000	686008
Washington	2001	514102
Washington	2002	4597086
Washington	2003	7322667
Washington	2004	184111
Washington	2005	1239763
Washington	2006	62404
Washington	2007	110596
Washington	2008	1968905
Washington	2009	188279
Washington	2010	1167879
Washington	2011	316154
Washington	2012	95109
Washington	2013	0
Washington	2014	1035344
Washington	2015	6131161
Washington	2016	9765143
Washington	2017	671284
Washington	2018	1136169
Washington	2019	9400184
Washington	2020	8660612
