state	year	spending
West Virginia	1995	7624
West Virginia	1996	33741
West Virginia	1997	4608
West Virginia	1998	108
West Virginia	1999	404164
West Virginia	2000	2213384
West Virginia	2001	0
West Virginia	2002	0
West Virginia	2003	4646558
West Virginia	2004	-1049
West Virginia	2005	0
West Virginia	2006	0
West Virginia	2007	131538
West Virginia	2008	2156893
West Virginia	2009	0
West Virginia	2010	937492
West Virginia	2011	742414
West Virginia	2012	8399
West Virginia	2013	-4
West Virginia	2014	642978
West Virginia	2015	1069670
West Virginia	2016	407234
West Virginia	2017	206970
West Virginia	2018	422045
West Virginia	2019	393244
West Virginia	2020	209545
